"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Guillermo Garcia","12","38","2","3","4","0","5.3 %","34.2 %",".222",".238",".194",".237",".417",".280","62","0.0","-1.8","1.6","0.1","1004501"
"Casper Asbjornson","74","187","1","18","26","0","3.7 %","20.3 %",".080",".328",".261",".297",".341",".296","73","0.0","-6.6","1.5","0.1","1000334"
"Red Lutz","1","1","0","0","0","0","0.0 %","0.0 %","1.000","1.000","1.000","1.000","2.000","1.307","672","0.0","0.8","0.0","0.1","1007853"
"Mike Konnick","3","10","0","0","1","0","10.0 %","0.0 %",".125",".000",".250",".333",".375",".349","126","-0.1","0.2","0.1","0.1","1007096"
"Ryan Jorgensen","4","15","2","3","6","0","0.0 %","33.3 %",".400",".125",".200",".200",".600",".326","89","0.2","0.0","0.3","0.1","7056"
"Scott Bradley","5","6","0","1","1","0","16.7 %","0.0 %",".000",".400",".400",".500",".400",".422","169","0.0","0.5","0.0","0.1","1001315"
"Troy Afenir","16","40","0","3","4","0","12.5 %","30.0 %",".147",".273",".176",".282",".324",".280","72","0.0","-1.2","0.6","0.1","1000079"
"Lee Fohl","4","15","0","3","2","0","0.0 %","",".214","",".357",".400",".571",".447","154","-0.1","1.0","-0.9","0.1","1004193"
"Jimmy Archer","9","27","0","2","2","0","3.7 %","11.1 %",".038",".304",".269",".296",".308",".295","85","-0.1","-0.5","0.2","0.1","1000290"
"Pat Deisel","2","1","0","0","0","0","100.0 %","",".000","",".000","1.000",".000",".738","315","0.0","0.3","0.0","0.0","1003147"
"Dee Moore","13","25","0","6","1","0","4.0 %","20.0 %",".174",".278",".217",".280",".391",".304","78","0.0","-0.7","0.2","0.0","1009101"
"Bob Barton","3","2","0","0","0","0","50.0 %","0.0 %",".000",".000",".000",".500",".000",".355","123","0.0","0.1","0.0","0.0","1000630"
"Brian Johnson","45","127","5","12","18","0","7.1 %","24.4 %",".188",".272",".231",".286",".419",".306","73","0.0","-4.7","0.7","0.0","1006432"
"Peaches O'Neill","8","16","0","0","1","0","6.3 %","",".000","",".267",".313",".267",".283","73","-0.1","-0.6","0.1","0.0","1009819"
"Jimmie Wilson","20","45","0","2","3","1","4.4 %","4.4 %",".050",".263",".250",".286",".300",".273","61","0.2","-1.9","0.5","0.0","1014088"
"Harry Chozen","1","4","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".233","32","0.0","-0.3","0.0","0.0","1002207"
"Hugh Poland","19","22","0","1","2","0","4.5 %","18.2 %",".048",".412",".333",".364",".381",".349","99","0.0","0.0","-0.9","0.0","1010415"
"Oscar Stanage","1","1","0","0","0","0","0.0 %","",".000","",".000",".000",".000",".000","-100","0.0","-0.2","0.0","0.0","1012394"
"Phil Powers","96","378","0","36","28","","2.9 %","",".041","",".204",".228",".245",".219","65","0.0","-19.3","4.2","0.0","1010503"
"Mark Stewart","1","1","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.2","0.0","0.0","1012525"
"Jack Blott","2","1","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.3","0.0","0.0","1001087"
"Tom Sullivan","1","1","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.3","0.0","0.0","1012716"
"Hugh McMullen","1","1","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.3","0.0","0.0","1008648"
"Earl Blackburn","18","30","0","1","3","2","10.0 %","16.7 %",".000",".318",".259",".333",".259",".298","74","0.1","-0.7","-0.6","0.0","1001011"
"Pete Lamer","1","2","0","0","0","0","0.0 %","",".000","",".000",".000",".000",".000","-96","0.0","-0.4","0.0","0.0","1007279"
"Dan Mahoney","5","22","0","1","1","0","4.5 %","18.2 %",".095",".235",".190",".227",".286",".245","57","-0.1","-1.5","0.2","0.0","1007992"
"Emil Huhn","60","150","0","6","6","1","2.7 %","10.7 %",".083",".264",".234",".255",".317",".274","71","-0.2","-4.6","-0.5","0.0","1006170"
"Si Pauxtis","4","9","0","2","0","0","0.0 %","",".000","",".125",".222",".125",".193","25","-0.1","-0.8","0.1","0.0","1010084"
"Bruce Edwards","7","5","0","0","0","0","0.0 %","40.0 %",".000",".333",".200",".200",".200",".181","-4","0.0","-0.6","0.0","0.0","1003683"
"Jimmie Schaffer","4","6","0","0","1","0","0.0 %","50.0 %",".000",".333",".167",".167",".167",".151","-10","0.0","-0.7","0.0","-0.1","1011511"
"Matt Batts","29","81","0","4","13","0","6.2 %","14.8 %",".082",".286",".247",".288",".329",".278","59","0.1","-4.1","1.3","-0.1","1000677"
"Gus Brittain","3","6","0","0","0","0","0.0 %","50.0 %",".000",".333",".167",".167",".167",".155","-19","0.0","-0.9","0.0","-0.1","1001448"
"Miguel Perez","2","3","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","0.0","-0.1","3262"
"Tom Dowse","1","4","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-76","0.0","-1.0","0.0","-0.1","1003455"
"Rudy Kemmler","3","11","0","0","","","0.0 %","",".091","",".091",".091",".182",".119","15","0.0","-1.3","0.0","-0.1","1006825"
"Len Rice","10","4","0","1","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.0","0.2","-0.1","1010898"
"Lena Styles","41","113","0","9","6","0","8.0 %","8.0 %",".051",".267",".242",".318",".293",".294","70","0.0","-4.4","0.1","-0.1","1012660"
"Brook Fordyce","108","273","4","15","23","2","8.1 %","16.1 %",".108",".272",".237",".298",".345",".283","64","0.0","-12.4","3.0","-0.1","138"
"Glenn Sutko","11","13","0","0","1","0","15.4 %","53.8 %",".000",".250",".091",".231",".091",".179","4","0.0","-1.4","0.2","-0.1","1012742"
"Ned Bligh","3","5","0","0","0","0","0.0 %","",".000","",".000",".000",".000",".000","-62","0.0","-1.1","0.0","-0.1","1001073"
"Ducky Pearce","4","5","0","0","0","0","0.0 %","",".000","",".000",".000",".000",".000","-95","0.0","-1.0","0.1","-0.1","1010101"
"Paul Bako","99","338","6","30","35","0","10.1 %","26.6 %",".110",".289",".217",".299",".328",".278","60","-1.9","-18.8","6.9","-0.1","676"
"Jack Crouch","10","18","0","5","1","1","0.0 %","0.0 %",".000",".125",".125",".222",".125",".189","9","0.2","-1.7","0.2","-0.1","1002816"
"Johnny Riddle","33","59","0","2","2","0","6.8 %","11.9 %",".000",".229",".200",".254",".200",".227","32","0.0","-4.8","2.0","-0.1","1010948"
"Dane Sardinha","2","5","0","0","0","0","0.0 %","40.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.4","0.1","-0.1","353"
"Billy Maloney","27","95","1","13","7","8","2.1 %","",".079","",".247",".272",".326",".286","72","1.1","-1.9","-2.5","-0.1","1008034"
"Harry Smith","21","50","0","4","5","1","10.0 %","26.0 %",".114",".226",".159",".245",".273",".257","60","0.0","-2.0","-0.6","-0.1","1012153"
"Rube Vickers","4","11","0","0","3","0","0.0 %","",".091","",".364",".364",".455",".386","136","-0.1","0.4","-2.0","-0.1","1013422"
"Sonny Ruberto","2","4","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".250",".000",".182","14","0.0","-0.4","-0.9","-0.1","1011276"
"Jack Boyle","1","5","0","0","0","0","0.0 %","",".000","",".200",".200",".200",".190","38","0.0","-0.5","-1.0","-0.1","1001289"
"Sammy Taylor","3","6","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.4","0.1","-0.1","1012887"
"Tony DePhillips","35","22","0","0","2","0","4.5 %","22.7 %",".050",".133",".100",".143",".150",".146","-16","0.0","-2.8","1.1","-0.1","1003217"
"Frank Bruggy","6","16","0","2","1","0","12.5 %","0.0 %",".000",".214",".214",".313",".214",".269","47","0.0","-1.1","-0.8","-0.1","1001580"
"Danny Breeden","3","11","0","0","1","0","0.0 %","27.3 %",".000",".200",".125",".125",".125",".114","-43","0.0","-1.8","0.2","-0.1","1001378"
"Gene Green","15","32","1","3","3","0","0.0 %","25.0 %",".129",".273",".226",".250",".355",".271","72","0.0","-1.0","-1.6","-0.1","1004995"
"Bill Baker","29","75","0","5","7","2","6.7 %","12.0 %",".043",".246",".214",".267",".257",".248","45","0.4","-4.7","0.8","-0.2","1000443"
"Raffy Lopez","8","7","0","0","0","0","0.0 %","42.9 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.9","0.1","-0.2","12606"
"Bill Merritt","51","212","1","26","33","6","7.1 %","3.8 %",".068",".273",".266",".325",".333",".317","63","-0.6","-14.3","2.4","-0.2","1008784"
"Chad Wallach","6","11","0","0","0","0","0.0 %","45.5 %",".000",".167",".091",".091",".091",".080","-64","0.1","-2.2","0.2","-0.2","17161"
"Alan Knicely","117","328","7","28","41","0","10.7 %","20.7 %",".116",".274",".232",".313",".347",".295","80","-0.9","-8.4","-4.1","-0.2","1007035"
"Bill McCarthy","3","8","0","1","0","0","0.0 %","",".000","",".125",".125",".125",".121","-22","0.0","-1.0","-0.9","-0.2","1008366"
"Steve Christmas","9","19","0","0","1","0","5.3 %","15.8 %",".000",".067",".059",".105",".059",".085","-63","0.0","-3.6","1.2","-0.2","1002223"
"Frank House","23","28","0","0","3","0","0.0 %","7.1 %",".071",".192",".179",".179",".250",".189","8","0.0","-3.0","0.2","-0.2","1006059"
"Leo Dixon","14","34","0","0","2","0","8.8 %","20.6 %",".067",".217",".167",".242",".233",".230","23","0.0","-3.8","0.4","-0.2","1003332"
"Astyanax Douglass","11","25","0","2","1","0","4.0 %","16.0 %",".000",".200",".167",".200",".167",".180","-7","0.0","-3.5","0.3","-0.2","1003432"
"Craig Tatum","26","77","1","3","6","0","9.1 %","13.0 %",".059",".175",".162",".250",".221",".218","21","0.4","-7.1","2.2","-0.2","7468"
"Jerry Hurley","9","24","0","1","0","1","4.2 %","",".000","",".048",".130",".048",".108","-31","0.1","-4.0","0.2","-0.3","1006220"
"Joe Just","25","52","0","2","2","0","7.7 %","17.3 %",".000",".194",".156",".240",".156",".207","21","0.0","-5.0","0.7","-0.3","1006656"
"Frank Baldwin","16","21","0","0","0","0","4.8 %","42.9 %",".000",".182",".100",".143",".100",".122","-41","0.0","-3.9","0.4","-0.3","1000478"
"Rick Wrona","11","23","0","0","0","0","0.0 %","13.0 %",".000",".200",".174",".174",".174",".159","-11","0.0","-2.8","-0.6","-0.3","1014299"
"Mike Gonzalez","95","196","0","19","10","2","6.6 %","8.2 %",".034",".256",".233",".293",".267",".278","68","-0.2","-7.0","-1.4","-0.3","1004841"
"Paddy Livingston","50","163","0","8","8","0","7.4 %","",".065","",".158",".259",".223",".249","53","-0.9","-9.0","1.5","-0.3","1007676"
"Dan Wilson","48","116","0","8","11","0","10.3 %","20.7 %",".040",".333",".257",".333",".297",".280","67","0.0","-4.9","-2.2","-0.3","1102"
"Bill Traffley","30","109","0","17","8","","3.7 %","",".048","",".200",".229",".248",".221","66","0.0","-5.5","-2.0","-0.3","1013153"
"Lloyd McClendon","117","234","5","17","27","5","8.1 %","15.8 %",".115",".235",".215",".283",".330",".276","69","0.9","-7.6","-3.0","-0.3","1008394"
"Norm Glockson","7","13","0","0","0","0","7.7 %","46.2 %",".000",".000",".000",".077",".000",".056","-72","0.0","-2.4","-0.8","-0.3","1004786"
"Brayan Pena","223","739","5","40","44","4","6.6 %","10.3 %",".076",".288",".263",".313",".339",".289","80","-10.3","-27.3","1.9","-0.3","3231"
"Gabby Street","42","136","0","9","8","3","6.6 %","",".063","",".214",".272",".278",".270","62","-0.2","-6.0","-1.8","-0.3","1012607"
"Emil Haberer","16","53","0","4","3","0","9.4 %","",".064","",".149",".231",".213",".224","37","-0.3","-4.4","-0.7","-0.3","1005175"
"Hank Severeid","95","193","0","15","23","0","6.2 %","9.3 %",".080",".278",".250",".302",".330",".304","74","-1.3","-7.8","-2.2","-0.3","1011761"
"Harry Spies","14","54","0","2","5","0","5.6 %","3.7 %",".040",".229",".220",".264",".260",".256","37","-0.4","-6.3","-0.6","-0.4","1012339"
"Connie Murphy","7","23","0","3","2","0","8.7 %","13.0 %",".048",".167",".143",".217",".190",".211","16","-0.1","-3.5","-1.8","-0.4","1009350"
"Donnie Scott","10","19","0","0","0","0","0.0 %","10.5 %",".000",".176",".158",".158",".158",".143","-22","0.0","-2.6","-1.7","-0.4","1011677"
"Damon Berryhill","34","97","2","6","11","0","10.3 %","19.6 %",".110",".200",".183",".260",".293",".240","38","0.0","-7.7","0.4","-0.4","1000904"
"Hal Smith","32","79","0","6","3","1","15.2 %","25.3 %",".015",".174",".121",".256",".136",".190","12","0.2","-7.6","1.1","-0.4","1012155"
"Joe Azcue","14","33","0","1","3","0","6.1 %","18.2 %",".000",".120",".097",".152",".097",".125","-34","-0.4","-5.6","0.5","-0.4","1000391"
"Bob Clark","16","61","0","2","3","3","9.8 %","14.8 %",".000",".133",".111",".213",".111",".185","19","0.2","-7.2","-0.5","-0.5","1002266"
"Gus Sandberg","31","74","0","2","4","0","4.1 %","10.8 %",".014",".197",".174",".208",".188",".193","4","0.1","-8.8","0.9","-0.5","1011403"
"Bob Schmidt","27","79","1","4","4","0","10.1 %","17.7 %",".043",".145",".129",".218",".171",".185","4","0.0","-9.6","1.4","-0.6","1011576"
"Dewey Williams","48","108","1","9","5","0","9.3 %","16.7 %",".053",".197",".168",".248",".221",".233","27","0.0","-9.7","0.5","-0.6","1013989"
"Dick West","119","316","3","30","35","6","3.8 %","13.3 %",".077",".248",".221",".253",".298",".258","53","1.1","-16.1","1.3","-0.6","1013800"
"Chad Moeller","30","49","1","6","2","0","0.0 %","34.7 %",".083",".233",".167",".167",".250",".180","-6","-1.2","-8.0","-0.3","-0.6","66"
"Stuart Turner","37","89","2","4","7","0","5.6 %","24.7 %",".110",".153",".134",".182",".244",".186","6","-1.4","-12.2","1.5","-0.8","15207"
"Clyde Manion","110","304","0","14","19","0","8.6 %","9.9 %",".018",".214",".190",".261",".209",".231","34","-0.1","-24.8","4.2","-1.1","1008059"
"Jerry Zimmerman","76","222","0","8","10","1","5.0 %","9.5 %",".025",".228",".206",".252",".230",".225","29","-0.1","-19.9","1.7","-1.1","1014445"
"Kid Baldwin","366","1435","7","162","166","38","2.0 %","12.4 %",".082",".254",".224",".245",".305",".257","66","-4.4","-80.2","7.3","-1.1","1000482"
"Dave Van Gorder","171","444","2","26","37","1","8.1 %","12.8 %",".050",".239",".211",".277",".261",".245","46","0.1","-26.8","-1.5","-1.4","1013356"
"Mike Kahoe","73","246","1","20","13","4","2.0 %","0.0 %",".064",".000",".188",".212",".252",".220","28","-0.3","-26.1","0.3","-1.5","1006668"
"Rollie Hemsley","85","241","0","16","14","0","4.1 %","7.9 %",".056",".165",".152",".187",".208",".188","10","0.0","-24.1","2.3","-1.6","1005626"
"Don Werner","94","245","2","12","21","2","9.8 %","18.0 %",".061",".192",".165",".253",".226",".224","32","0.0","-18.7","-5.8","-1.7","1013788"
"Bill Plummer","324","899","12","66","75","4","9.2 %","19.0 %",".088",".218",".186",".263",".274",".249","51","-0.2","-50.9","0.0","-2.3","1010399"
"Bill Bergen","234","886","1","55","72","6","3.3 %","",".047","",".191",".218",".238",".219","30","-2.8","-80.1","10.2","-3.7","1000867"
